title,num_reviews,num_wishlisted,area,price,tags,bio,review_title,review_desc,review_image
Tenderbest (824 Tampines),2 REVIEWS,14 WISHLISTED,Tampines,~$15/pax,"Kopitiam
Halal
Western",*Halal-certified,Chicken Chop Rice,NA,https://burpple-3.imgix.net/foods/26da65bf269b2f3a3a87409_original.?w=420&dpr=1&fit=crop&q=80&auto=format
Tenderbest (824 Tampines),2 REVIEWS,14 WISHLISTED,Tampines,~$15/pax,"Kopitiam
Halal
Western",*Halal-certified,"Oh, Sedap Nasi BBQ Ayam",NA,https://burpple-2.imgix.net/foods/2c81e0a9253b6a60678369_original.?w=420&dpr=1&fit=crop&q=80&auto=format
FoodLoft (Tampines),2 REVIEWS,4 WISHLISTED,Tampines,~$10/pax,"Kopitiam
Hawker Food",,U Mian Dry,"From the Handmade Noodle
Fragrant when served.
Tasty plate of handmade noodle with mince pork & Chinese spinach.
Really not bad.",https://burpple-1.imgix.net/foods/5ffb3ea47f3033000541923973_original.?w=420&dpr=1&fit=crop&q=80&auto=format
FoodLoft (Tampines),2 REVIEWS,4 WISHLISTED,Tampines,~$10/pax,"Kopitiam
Hawker Food",,Dumpling Ban Mian (Dry),"😎: My personal favourite which I have been supporting for many years! Their dry version is always better than those in soup but there may be times when it is too salty!😂 but I love it anyway✌🏻️
💰: S$3.5
💯: [4/5]",https://burpple-3.imgix.net/foods/36123d09a4e362cc3dc1275277_original.?w=420&dpr=1&fit=crop&q=80&auto=format
888 Mookata (Tampines),2 REVIEWS,12 WISHLISTED,Tampines,~$15/pax,"Mookata
Rainy Day Comforts
Hawker Food
Thai
BBQ",,Hit And Miss,"Strange as this may sound but this was the first time I have tried Mookata (be it in Thailand or Singapore). You may wonder though why it has taken me so long to try something that combines two of my favourite things --- Korean bbq and Chinese steamboat.
The premise of mookata is very simple. The unique shape of the hot plate allows sliced meat to be grilled on the ""dome"" in the middle and vegetables and other ingredients to be cooked in the surrounding ""trough"" which is filled with soup. The juices of the bbq meat are allowed to flow into the trough to enhance the flavours of the soup.
To be honest, I find mookata a little expensive since a platter for 4 costs $30 to $40 before add-ons. The quality is also hit and miss. But it saves you the time and effort from prep work, cleaning up (eg scrubbing the grill) and having a living room reeking of oil for the next few days. Once in a while, okay lah!",https://burpple-3.imgix.net/foods/3086f0f020024fbfacca1907846_original.?w=420&dpr=1&fit=crop&q=80&auto=format
888 Mookata (Tampines),2 REVIEWS,12 WISHLISTED,Tampines,~$15/pax,"Mookata
Rainy Day Comforts
Hawker Food
Thai
BBQ",,HUAT AH!,"I love how shops come out with very huat names for their store - it makes me want to visit them more often 😂
Second visit to 888 this month - platters for 2 ($26) and 4($45) are priced very affordably. Both trips, we added ala cart dishes because we want more variety 🤫 I especially like their garlic marinated meats 🤤 They have branches around Singapore, it's definitely worth a visit when you on a budget and want to eat M O O K A T A!
•
📍 888 Mookata
820 Tampines Street 81
Singapore 520820
•
#jeanhojiaksg #burpple
#singapore #sg #igsg #sgfoodie #sgfoodies #sgfood #foodsg #sgeats #sgfoodporn #sgfoodblogger #instafood_sg #sgfooddiary #stfoodtrending #8dayseat #sgfoodlover #foodinsing",https://burpple.imgix.net/foods/608a720cb98c360b25e1790560_original.?w=420&dpr=1&fit=crop&q=80&auto=format
KhairunMiyah (Tampines),9 REVIEWS,2 WISHLISTED,Tampines,~$5/pax,"Hawker Food
Indian
Delivery
Halal",,Loved the Kothu Prata here!,"Not sure if people know what Kothu Prata is, but it's really worth a try!
Instead of order your usual Plain or Egg Prata, you can try order Kothu Prata, which is basically prata but shredded, then stir-fried with some form of protein, onions and spices.
The rendition here cost $6 and came in a big portion. Not too spicy, you can taste alot of the aromatics and the texture of the prata is of the softer kind. This resembles very closely to fried kway teow! The protein they added to the dish is their fried chicken, which intensified the savoury flavours.
Really loved this dish and I will order it again!",https://burpple-1.imgix.net/foods/1685318581_review_image1969458_original.?w=420&dpr=1&fit=crop&q=80&auto=format
KhairunMiyah (Tampines),9 REVIEWS,2 WISHLISTED,Tampines,~$5/pax,"Hawker Food
Indian
Delivery
Halal",,Chicken Briyani,"Chicken Briyani
Bursting with flavours! The rice of the chicken biryani is very fragrant, wonderfully light and fluffy texture, served alongside a huge chicken thigh. The texture of the meat is tender and juicy which led me wanting more!",https://burpple.imgix.net/foods/1672677455_review_image1959025_original.?w=420&dpr=1&fit=crop&q=80&auto=format
KhairunMiyah (Tampines),9 REVIEWS,2 WISHLISTED,Tampines,~$5/pax,"Hawker Food
Indian
Delivery
Halal",,Chicken Meehoon Goreng,"Chicken Mee hoon Goreng
Everything else in the dish is done so well as it is wonderfully moist with balanced between wet and dry. Simple and good.",https://burpple-1.imgix.net/foods/1672677423_review_image1959024_original.?w=20&fit=crop&q=80&auto=format
KhairunMiyah (Tampines),9 REVIEWS,2 WISHLISTED,Tampines,~$5/pax,"Hawker Food
Indian
Delivery
Halal",,Coin prata,"What I like about their prata is that they happens to get both its prata and curries done well. I find their prata a bit thinner than others which is exactly how I love my prata to be less doughy type. Their prata is light crispy, slightly chewy, fluffy at the same time and not overly oily too. Choices here include Plain Prata, Double Egg Prata, Egg Cheese Prata, Mushroom Prata, Egg Onion Chilli Prata to more fanciful one like Prata with Banana & Cheese. They also serves up a wide variety of Indian-Muslim food from Briyani, Mee Goreng, Nasi Goreng, Mee Hoon Goreng, Maggie Goreng, Kway Teow Mutton, Roti John, Murtabak, Dosai etc.
Coin Prata
Extremely crispy and fragrant on the outside, but gives way to a soft and chewy centre. They are not overly thick or thin. Such a delight.",https://burpple-1.imgix.net/foods/1672677238_review_image1959023_original.?w=20&fit=crop&q=80&auto=format
